id,key,enabled,bom_type,cylinder_label,agent_type,item_order,brand,code,product,unit,quantity_base,delivery,unit_price
31,SISTEMATANK SIZE 16LFM-2001-7,True,SISTEMA,TANK SIZE 16L,FM-200,7.0,ANSUL,304205030,Electric Actuator Shipping Assembly,c/u.,1.0,304205030,1
32,SISTEMATANK SIZE 16LFM-2001-8,True,SISTEMA,TANK SIZE 16L,FM-200,8.0,ANSUL,A1638150HY,Local Manual Actuator,c/u.,1.0,A1638150HY,1
33,SISTEMATANK SIZE 16LFM-2001-9,True,SISTEMA,TANK SIZE 16L,FM-200,9.0,ANSUL,570085-R2,"Tank Bracket Assembly (Fits 20, 50 & 90 lb. Tanks)",c/u.,2.0,570085-R2,1
34,SISTEMATANK SIZE 16LFM-2001-10,True,SISTEMA,TANK SIZE 16L,FM-200,10.0,ANSUL,17549OK,"Nozzle, según memoria de calculo",c/u.,1.0,NOZ. 16L,1
35,SISTEMATANK SIZE 16LFM-2001-11,True,SISTEMA,TANK SIZE 16L,FM-200,11.0,ANSUL,442927-R2,"NAMEPLATE, FM200, DO NOT ENTER",c/u.,1.0,442927-R2,1
36,SISTEMATANK SIZE 16LFM-2001-12,True,SISTEMA,TANK SIZE 16L,FM-200,12.0,ANSUL,442928-R2,"NAMEPLATE, FM200, PROTECTED,",c/u.,1.0,442928-R2,1
37,SISTEMATANK SIZE 16LFM-2001-13,True,SISTEMA,TANK SIZE 16L,FM-200,13.0,ANSUL,570557,"Single-Tank Swivel Adaptor, 1 in. (P/N 309002016)",c/u.,1.0,570557,1
38,SISTEMATANK SIZE 16LFM-2001-14,True,SISTEMA,TANK SIZE 16L,FM-200,14.0,,,,,,0,1
39,SISTEMATANK SIZE 16LFM-2001-15,True,SISTEMA,TANK SIZE 16L,FM-200,15.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
40,SISTEMATANK SIZE 16LFM-2001-16,True,SISTEMA,TANK SIZE 16L,FM-200,16.0,ANSUL,73597,"Acutation Hose, 16 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,73597,1
41,SISTEMATANK SIZE 16LFM-2001-17,True,SISTEMA,TANK SIZE 16L,FM-200,17.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
43,OPCIONALTANK SIZE 16LFM-2001-1,True,OPCIONAL,TANK SIZE 16L,FM-200,1.0,ANSUL,570539-R2,"Flexible Discharge Hose, 1 in.",c/u.,1.0,570539-R2,1
44,OPCIONALTANK SIZE 16LFM-2001-2,True,OPCIONAL,TANK SIZE 16L,FM-200,2.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
45,OPCIONALTANK SIZE 16LFM-2001-3,True,OPCIONAL,TANK SIZE 16L,FM-200,3.0,ANSUL,73597,"Acutation Hose, 16 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,73597,1
46,OPCIONALTANK SIZE 16LFM-2001-4,True,OPCIONAL,TANK SIZE 16L,FM-200,4.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
47,OPCIONALTANK SIZE 16LFM-2001-5,True,OPCIONAL,TANK SIZE 16L,FM-200,5.0,ANSUL,76498,"Switch, Maintenance, Surface Mount",c/u.,1.0,76498,1
49,SISTEMATANK SIZE 32LFM-2001-1,True,SISTEMA,TANK SIZE 32L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 32L,c/u.,1.0,32L CARGA,1
50,SISTEMATANK SIZE 32LFM-2001-2,True,SISTEMA,TANK SIZE 32L,FM-200,2.0,ANSUL,445734,"TANK SIZE 32L, Fill: 36-70 lb.",c/u.,1.0,445734,1
51,SISTEMATANK SIZE 32LFM-2001-3,True,SISTEMA,TANK SIZE 32L,FM-200,3.0,ANSUL,FM-200-SRL,"FM-200 Agent,",c/u.,2.0,453646,1
52,SISTEMATANK SIZE 32LFM-2001-4,True,SISTEMA,TANK SIZE 32L,FM-200,4.0,ANSUL,570055,"Gauge, Cylinder Valve FM-200",c/u.,1.0,570055,1
53,SISTEMATANK SIZE 32LFM-2001-5,True,SISTEMA,TANK SIZE 32L,FM-200,5.0,ANSUL,314205314,Label FM-200 32/106/147/180/343L UL/FM,c/u.,1.0,314205314,1
54,SISTEMATANK SIZE 32LFM-2001-6,True,SISTEMA,TANK SIZE 32L,FM-200,6.0,ANSUL,570585,Cylinder Low Pressure Switch,c/u.,1.0,570585,1
55,SISTEMATANK SIZE 32LFM-2001-7,True,SISTEMA,TANK SIZE 32L,FM-200,7.0,ANSUL,304205030,Electric Actuator Shipping Assembly,c/u.,1.0,304205030,1
56,SISTEMATANK SIZE 32LFM-2001-8,True,SISTEMA,TANK SIZE 32L,FM-200,8.0,ANSUL,A1638150HY,Local Manual Actuator,c/u.,1.0,A1638150HY,1
57,SISTEMATANK SIZE 32LFM-2001-9,True,SISTEMA,TANK SIZE 32L,FM-200,9.0,ANSUL,570085-R2,"Tank Bracket Assembly (Fits 20, 50 & 90 lb. Tanks)",c/u.,2.0,570085-R2,1
58,SISTEMATANK SIZE 32LFM-2001-10,True,SISTEMA,TANK SIZE 32L,FM-200,10.0,ANSUL,17549OK,"Nozzle, según memoria de calculo",c/u.,1.0,NOZ. 32L,1
59,SISTEMATANK SIZE 32LFM-2001-11,True,SISTEMA,TANK SIZE 32L,FM-200,11.0,ANSUL,442927-R2,"NAMEPLATE, FM200, DO NOT ENTER",c/u.,1.0,442927-R2,1
60,SISTEMATANK SIZE 32LFM-2001-12,True,SISTEMA,TANK SIZE 32L,FM-200,12.0,ANSUL,442928-R2,"NAMEPLATE, FM200, PROTECTED,",c/u.,1.0,442928-R2,1
61,SISTEMATANK SIZE 32LFM-2001-13,True,SISTEMA,TANK SIZE 32L,FM-200,13.0,ANSUL,570557,"Single-Tank Swivel Adaptor, 1 in. (P/N 309002016)",c/u.,1.0,570557,1
62,SISTEMATANK SIZE 32LFM-2001-14,True,SISTEMA,TANK SIZE 32L,FM-200,14.0,,,,,,0,1
63,SISTEMATANK SIZE 32LFM-2001-15,True,SISTEMA,TANK SIZE 32L,FM-200,15.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
64,SISTEMATANK SIZE 32LFM-2001-16,True,SISTEMA,TANK SIZE 32L,FM-200,16.0,ANSUL,73597,"Acutation Hose, 16 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,73597,1
65,SISTEMATANK SIZE 32LFM-2001-17,True,SISTEMA,TANK SIZE 32L,FM-200,17.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
67,OPCIONALTANK SIZE 32LFM-2001-1,True,OPCIONAL,TANK SIZE 32L,FM-200,1.0,ANSUL,570539-R2,"Flexible Discharge Hose, 1 in.",c/u.,1.0,570539-R2,1
68,OPCIONALTANK SIZE 32LFM-2001-2,True,OPCIONAL,TANK SIZE 32L,FM-200,2.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
69,OPCIONALTANK SIZE 32LFM-2001-3,True,OPCIONAL,TANK SIZE 32L,FM-200,3.0,ANSUL,73597,"Acutation Hose, 16 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,73597,1
70,OPCIONALTANK SIZE 32LFM-2001-4,True,OPCIONAL,TANK SIZE 32L,FM-200,4.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
71,OPCIONALTANK SIZE 32LFM-2001-5,True,OPCIONAL,TANK SIZE 32L,FM-200,5.0,ANSUL,76498,"Switch, Maintenance, Surface Mount",c/u.,1.0,76498,1
73,SISTEMATANK SIZE 52LFM-2001-1,True,SISTEMA,TANK SIZE 52L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 52L,c/u.,1.0,52L CARGA,1
74,SISTEMATANK SIZE 52LFM-2001-2,True,SISTEMA,TANK SIZE 52L,FM-200,2.0,ANSUL,445735,"TANK SIZE 52L, Fill: 58-114 lb.",c/u.,1.0,445735,1
75,SISTEMATANK SIZE 52LFM-2001-3,True,SISTEMA,TANK SIZE 52L,FM-200,3.0,ANSUL,FM-200-SRL,"FM-200 Agent,",c/u.,2.0,453646,1
76,SISTEMATANK SIZE 52LFM-2001-4,True,SISTEMA,TANK SIZE 52L,FM-200,4.0,ANSUL,570055,"Gauge, Cylinder Valve FM-200",c/u.,1.0,570055,1
77,SISTEMATANK SIZE 52LFM-2001-5,True,SISTEMA,TANK SIZE 52L,FM-200,5.0,ANSUL,314205321,Label FM-200 8/16/52L UL/FM,c/u.,1.0,314205321,1
78,SISTEMATANK SIZE 52LFM-2001-6,True,SISTEMA,TANK SIZE 52L,FM-200,6.0,ANSUL,570585,Cylinder Low Pressure Switch,c/u.,1.0,570585,1
79,SISTEMATANK SIZE 52LFM-2001-7,True,SISTEMA,TANK SIZE 52L,FM-200,7.0,ANSUL,304205030,Electric Actuator Shipping Assembly,c/u.,1.0,304205030,1
80,SISTEMATANK SIZE 52LFM-2001-8,True,SISTEMA,TANK SIZE 52L,FM-200,8.0,ANSUL,A1638150HY,Local Manual Actuator,c/u.,1.0,A1638150HY,1
81,SISTEMATANK SIZE 52LFM-2001-9,True,SISTEMA,TANK SIZE 52L,FM-200,9.0,ANSUL,570092-R2,"Tank Bracket Assembly (Fits 140, 280, 390 & 450 lb. Tanks)",c/u.,2.0,570092-R2,1
82,SISTEMATANK SIZE 52LFM-2001-10,True,SISTEMA,TANK SIZE 52L,FM-200,10.0,ANSUL,17549OK,"Nozzle, según memoria de calculo",c/u.,1.0,NOZ. 52L,1
83,SISTEMATANK SIZE 52LFM-2001-11,True,SISTEMA,TANK SIZE 52L,FM-200,11.0,ANSUL,442927-R2,"NAMEPLATE, FM200, DO NOT ENTER",c/u.,1.0,442927-R2,1
84,SISTEMATANK SIZE 52LFM-2001-12,True,SISTEMA,TANK SIZE 52L,FM-200,12.0,ANSUL,442928-R2,"NAMEPLATE, FM200, PROTECTED,",c/u.,1.0,442928-R2,1
85,SISTEMATANK SIZE 52LFM-2001-13,True,SISTEMA,TANK SIZE 52L,FM-200,13.0,ANSUL,570558,"Single-Tank Swivel Adaptor, 2 in.  (P/N 309002017)",c/u.,1.0,570558,1
86,SISTEMATANK SIZE 52LFM-2001-14,True,SISTEMA,TANK SIZE 52L,FM-200,14.0,,,,,,0,1
87,SISTEMATANK SIZE 52LFM-2001-15,True,SISTEMA,TANK SIZE 52L,FM-200,15.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
88,SISTEMATANK SIZE 52LFM-2001-16,True,SISTEMA,TANK SIZE 52L,FM-200,16.0,ANSUL,415142,"Acutation Hose, 32 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,415142,1
89,SISTEMATANK SIZE 52LFM-2001-17,True,SISTEMA,TANK SIZE 52L,FM-200,17.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
91,OPCIONALTANK SIZE 52LFM-2001-1,True,OPCIONAL,TANK SIZE 52L,FM-200,1.0,ANSUL,570538-R2,"Flexible Discharge Hose, 2 in.",c/u.,1.0,570538-R2,1
92,OPCIONALTANK SIZE 52LFM-2001-2,True,OPCIONAL,TANK SIZE 52L,FM-200,2.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
93,OPCIONALTANK SIZE 52LFM-2001-3,True,OPCIONAL,TANK SIZE 52L,FM-200,3.0,ANSUL,415142,"Acutation Hose, 32 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,415142,1
94,OPCIONALTANK SIZE 52LFM-2001-4,True,OPCIONAL,TANK SIZE 52L,FM-200,4.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
95,OPCIONALTANK SIZE 52LFM-2001-5,True,OPCIONAL,TANK SIZE 52L,FM-200,5.0,ANSUL,76498,"Switch, Maintenance, Surface Mount",c/u.,1.0,76498,1
97,SISTEMATANK SIZE 106LFM-2001-1,True,SISTEMA,TANK SIZE 106L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 106L,c/u.,1.0,106L CARGA,1
98,SISTEMATANK SIZE 106LFM-2001-2,True,SISTEMA,TANK SIZE 106L,FM-200,2.0,ANSUL,445736,"TANK SIZE 106L, Fill: 117-233 lb",c/u.,1.0,445736,1
99,SISTEMATANK SIZE 106LFM-2001-3,True,SISTEMA,TANK SIZE 106L,FM-200,3.0,ANSUL,FM-200-SRL,"FM-200 Agent,",c/u.,2.0,453646,1
100,SISTEMATANK SIZE 106LFM-2001-4,True,SISTEMA,TANK SIZE 106L,FM-200,4.0,ANSUL,570055,"Gauge, Cylinder Valve FM-200",c/u.,1.0,570055,1
101,SISTEMATANK SIZE 106LFM-2001-5,True,SISTEMA,TANK SIZE 106L,FM-200,5.0,ANSUL,314205314,Label FM-200 32/106/147/180/343L UL/FM,c/u.,1.0,314205314,1
102,SISTEMATANK SIZE 106LFM-2001-6,True,SISTEMA,TANK SIZE 106L,FM-200,6.0,ANSUL,570585,Cylinder Low Pressure Switch,c/u.,1.0,570585,1
103,SISTEMATANK SIZE 106LFM-2001-7,True,SISTEMA,TANK SIZE 106L,FM-200,7.0,ANSUL,304205030,Electric Actuator Shipping Assembly,c/u.,1.0,304205030,1
104,SISTEMATANK SIZE 106LFM-2001-8,True,SISTEMA,TANK SIZE 106L,FM-200,8.0,ANSUL,A1638150HY,Local Manual Actuator,c/u.,1.0,A1638150HY,1
105,SISTEMATANK SIZE 106LFM-2001-9,True,SISTEMA,TANK SIZE 106L,FM-200,9.0,ANSUL,570092-R2,"Tank Bracket Assembly (Fits 140, 280, 390 & 450 lb. Tanks)",c/u.,2.0,570092-R2,1
106,SISTEMATANK SIZE 106LFM-2001-10,True,SISTEMA,TANK SIZE 106L,FM-200,10.0,ANSUL,17549OK,"Nozzle, según memoria de calculo",c/u.,1.0,NOZ. 106L,1
107,SISTEMATANK SIZE 106LFM-2001-11,True,SISTEMA,TANK SIZE 106L,FM-200,11.0,ANSUL,442927-R2,"NAMEPLATE, FM200, DO NOT ENTER",c/u.,1.0,442927-R2,1
108,SISTEMATANK SIZE 106LFM-2001-12,True,SISTEMA,TANK SIZE 106L,FM-200,12.0,ANSUL,442928-R2,"NAMEPLATE, FM200, PROTECTED,",c/u.,1.0,442928-R2,1
109,SISTEMATANK SIZE 106LFM-2001-13,True,SISTEMA,TANK SIZE 106L,FM-200,13.0,ANSUL,570558,"Single-Tank Swivel Adaptor, 2 in.  (P/N 309002017)",c/u.,1.0,570558,1
110,SISTEMATANK SIZE 106LFM-2001-14,True,SISTEMA,TANK SIZE 106L,FM-200,14.0,,,,,,0,1
111,SISTEMATANK SIZE 106LFM-2001-15,True,SISTEMA,TANK SIZE 106L,FM-200,15.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
112,SISTEMATANK SIZE 106LFM-2001-16,True,SISTEMA,TANK SIZE 106L,FM-200,16.0,ANSUL,415142,"Acutation Hose, 32 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,415142,1
113,SISTEMATANK SIZE 106LFM-2001-17,True,SISTEMA,TANK SIZE 106L,FM-200,17.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
114,SISTEMATANK SIZE 106LFM-2001-18,True,SISTEMA,TANK SIZE 106L,FM-200,18.0,,,,,,,1
116,OPCIONALTANK SIZE 106LFM-2001-1,True,OPCIONAL,TANK SIZE 106L,FM-200,1.0,ANSUL,570538-R2,"Flexible Discharge Hose, 2 in.",c/u.,1.0,570538-R2,1
117,OPCIONALTANK SIZE 106LFM-2001-2,True,OPCIONAL,TANK SIZE 106L,FM-200,2.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
118,OPCIONALTANK SIZE 106LFM-2001-3,True,OPCIONAL,TANK SIZE 106L,FM-200,3.0,ANSUL,415142,"Acutation Hose, 32 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,415142,1
119,OPCIONALTANK SIZE 106LFM-2001-4,True,OPCIONAL,TANK SIZE 106L,FM-200,4.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
120,OPCIONALTANK SIZE 106LFM-2001-5,True,OPCIONAL,TANK SIZE 106L,FM-200,5.0,ANSUL,76498,"Switch, Maintenance, Surface Mount",c/u.,1.0,76498,1
121,OPCIONALTANK SIZE 106LFM-2001-6,True,OPCIONAL,TANK SIZE 106L,FM-200,6.0,ANSUL,570277,"Liquid Level Indicator (For 280 lb. Tank), 32 in.",c/u.,1.0,570277,1
123,SISTEMATANK SIZE 147LFM-2001-1,True,SISTEMA,TANK SIZE 147L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 147L,c/u.,1.0,147L CARGA,1
124,SISTEMATANK SIZE 147LFM-2001-2,True,SISTEMA,TANK SIZE 147L,FM-200,2.0,ANSUL,445737,"TANK SIZE 147L, Fill: 163-324 lb.",c/u.,1.0,445737,1
125,SISTEMATANK SIZE 147LFM-2001-3,True,SISTEMA,TANK SIZE 147L,FM-200,3.0,ANSUL,FM-200-SRL,"FM-200 Agent,",c/u.,2.0,453646,1
126,SISTEMATANK SIZE 147LFM-2001-4,True,SISTEMA,TANK SIZE 147L,FM-200,4.0,ANSUL,570055,"Gauge, Cylinder Valve FM-200",c/u.,1.0,570055,1
127,SISTEMATANK SIZE 147LFM-2001-5,True,SISTEMA,TANK SIZE 147L,FM-200,5.0,ANSUL,314205314,Label FM-200 32/106/147/180/343L UL/FM,c/u.,1.0,314205314,1
128,SISTEMATANK SIZE 147LFM-2001-6,True,SISTEMA,TANK SIZE 147L,FM-200,6.0,ANSUL,570585,Cylinder Low Pressure Switch,c/u.,1.0,570585,1
129,SISTEMATANK SIZE 147LFM-2001-7,True,SISTEMA,TANK SIZE 147L,FM-200,7.0,ANSUL,304205030,Electric Actuator Shipping Assembly,c/u.,1.0,304205030,1
130,SISTEMATANK SIZE 147LFM-2001-8,True,SISTEMA,TANK SIZE 147L,FM-200,8.0,ANSUL,A1638150HY,Local Manual Actuator,c/u.,1.0,A1638150HY,1
131,SISTEMATANK SIZE 147LFM-2001-9,True,SISTEMA,TANK SIZE 147L,FM-200,9.0,ANSUL,570092-R2,"Tank Bracket Assembly (Fits 140, 280, 390 & 450 lb. Tanks)",c/u.,2.0,570092-R2,1
132,SISTEMATANK SIZE 147LFM-2001-10,True,SISTEMA,TANK SIZE 147L,FM-200,10.0,ANSUL,17549OK,"Nozzle, según memoria de calculo",c/u.,1.0,NOZ. 147L,1
133,SISTEMATANK SIZE 147LFM-2001-11,True,SISTEMA,TANK SIZE 147L,FM-200,11.0,ANSUL,442927-R2,"NAMEPLATE, FM200, DO NOT ENTER",c/u.,1.0,442927-R2,1
134,SISTEMATANK SIZE 147LFM-2001-12,True,SISTEMA,TANK SIZE 147L,FM-200,12.0,ANSUL,442928-R2,"NAMEPLATE, FM200, PROTECTED,",c/u.,1.0,442928-R2,1
135,SISTEMATANK SIZE 147LFM-2001-13,True,SISTEMA,TANK SIZE 147L,FM-200,13.0,ANSUL,570558,"Single-Tank Swivel Adaptor, 2 in.  (P/N 309002017)",c/u.,1.0,570558,1
136,SISTEMATANK SIZE 147LFM-2001-14,True,SISTEMA,TANK SIZE 147L,FM-200,14.0,,,,,,0,1
137,SISTEMATANK SIZE 147LFM-2001-15,True,SISTEMA,TANK SIZE 147L,FM-200,15.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
138,SISTEMATANK SIZE 147LFM-2001-16,True,SISTEMA,TANK SIZE 147L,FM-200,16.0,ANSUL,415142,"Acutation Hose, 32 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,415142,1
139,SISTEMATANK SIZE 147LFM-2001-17,True,SISTEMA,TANK SIZE 147L,FM-200,17.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
141,OPCIONALTANK SIZE 147LFM-2001-1,True,OPCIONAL,TANK SIZE 147L,FM-200,1.0,ANSUL,570538-R2,"Flexible Discharge Hose, 2 in.",c/u.,1.0,570538-R2,1
142,OPCIONALTANK SIZE 147LFM-2001-2,True,OPCIONAL,TANK SIZE 147L,FM-200,2.0,ANSUL,437900,"Switch, Pressure, 3PDT",c/u.,1.0,437900,1
143,OPCIONALTANK SIZE 147LFM-2001-3,True,OPCIONAL,TANK SIZE 147L,FM-200,3.0,ANSUL,415142,"Acutation Hose, 32 in., 1/4 in. NPT x 7/16-20 in. F Flare",c/u.,1.0,415142,1
144,OPCIONALTANK SIZE 147LFM-2001-4,True,OPCIONAL,TANK SIZE 147L,FM-200,4.0,ANSUL,32338,"Male Straight Connector, 7/16 - 20 x 1/4 in. NPT",c/u.,1.0,32338,1
145,OPCIONALTANK SIZE 147LFM-2001-5,True,OPCIONAL,TANK SIZE 147L,FM-200,5.0,ANSUL,76498,"Switch, Maintenance, Surface Mount",c/u.,1.0,76498,1
146,OPCIONALTANK SIZE 147LFM-2001-6,True,OPCIONAL,TANK SIZE 147L,FM-200,6.0,ANSUL,570278,"Liquid Level Indicator (For 390 & 850 lb. Tanks), 43 in.",c/u.,1.0,570278,1
148,SISTEMATANK SIZE 180LFM-2001-1,True,SISTEMA,TANK SIZE 180L,FM-200,1.0,ANSUL,AGLIMP-RECARGA-00,SERVICIO DE CARGA DE AGENTE 180L,c/u.,1.0,180L CARGA,1
